      time         0         1         2
  0.705250  0.046573  0.185628  0.224627
  0.707000  0.046693  0.185022  0.224544
  0.708750  0.046814  0.184418  0.224462
  0.710500  0.046936  0.183817  0.224383
  0.712250  0.047059  0.183219  0.224305
  0.714000  0.047183  0.182623  0.224229
  0.715750  0.047309  0.182030  0.224155
  0.717500  0.047435  0.181439  0.224083
  0.719250  0.047562  0.180851  0.224012
  0.721000  0.047691  0.180265  0.223943
  0.722750  0.047820  0.179682  0.223876
  0.724500  0.047951  0.179101  0.223810
  0.726250  0.048082  0.178522  0.223746
  0.728000  0.048215  0.177947  0.223684
  0.729750  0.048349  0.177373  0.223624
  0.731500  0.048484  0.176802  0.223565
  0.733250  0.048620  0.176234  0.223508
  0.735000  0.048757  0.175668  0.223453
  0.736750  0.048895  0.175104  0.223399
  0.738500  0.049034  0.174543  0.223347
  0.740250  0.049174  0.173984  0.223297
  0.742000  0.049316  0.173427  0.223248
  0.743750  0.049458  0.172873  0.223201
  0.745500  0.049602  0.172322  0.223155
  0.747250  0.049747  0.171772  0.223112
  0.749000  0.049893  0.171225  0.223070
  0.750750  0.050040  0.170680  0.223029
  0.752500  0.050188  0.170138  0.222990
  0.754250  0.050337  0.169598  0.222953
  0.756000  0.050488  0.169060  0.222918
  0.757750  0.050640  0.168525  0.222884
  0.759500  0.050792  0.167991  0.222851
  0.761250  0.050946  0.167460  0.222821
  0.763000  0.051102  0.166932  0.222792
  0.764750  0.051258  0.166405  0.222764
  0.766500  0.051415  0.165881  0.222738
  0.768250  0.051574  0.165359  0.222714
  0.770000  0.051734  0.164839  0.222691
  0.771750  0.051895  0.164322  0.222670
  0.773500  0.052057  0.163806  0.222650
  0.775250  0.052221  0.163293  0.222632
  0.777000  0.052386  0.162782  0.222616
  0.778750  0.052552  0.162274  0.222601
  0.780500  0.052719  0.161767  0.222587
  0.782250  0.052887  0.161262  0.222575
  0.784000  0.053057  0.160760  0.222565
  0.785750  0.053228  0.160260  0.222556
  0.787500  0.053400  0.159762  0.222549
  0.789250  0.053573  0.159266  0.222543
  0.791000  0.053748  0.158772  0.222539
  0.792750  0.053924  0.158280  0.222537
  0.794500  0.054101  0.157791  0.222536
  0.796250  0.054279  0.157303  0.222536
  0.798000  0.054459  0.156817  0.222538
  0.799750  0.054640  0.156334  0.222541
  0.801500  0.054822  0.155853  0.222546
  0.803250  0.055006  0.155373  0.222553
  0.805000  0.055191  0.154896  0.222560
  0.806750  0.055377  0.154421  0.222570
  0.808500  0.055565  0.153947  0.222581
  0.810250  0.055754  0.153476  0.222593
  0.812000  0.055944  0.153007  0.222607
